place,activity_type,activity,activity_description,full_activity
belize,Jungle Adventures,Cave Tubing," Explore the mysterious underworld of ancient Mayans as you float through fascinating cave systems like Actun Tunichil Muknal (ATM), which also houses ancient artifacts and skeletal remains","Jungle Adventures - Cave Tubing -  Explore the mysterious underworld of ancient Mayans as you float through fascinating cave systems like Actun Tunichil Muknal (ATM), which also houses ancient artifacts and skeletal remains"
belize,Island Escapades,Ambergris Caye," The largest island in Belize, Ambergris Caye is a hub for water sports, gourmet dining, and vibrant nightlife, with easy access to the Hol Chan Marine Reserve for exceptional snorkeling","Island Escapades - Ambergris Caye -  The largest island in Belize, Ambergris Caye is a hub for water sports, gourmet dining, and vibrant nightlife, with easy access to the Hol Chan Marine Reserve for exceptional snorkeling"
belize,Ecological Tours,Rainforest Expeditions," Take guided treks through the lush rainforests of the Cockscomb Basin Wildlife Sanctuary, home to the world’s first jaguar preserve","Ecological Tours - Rainforest Expeditions -  Take guided treks through the lush rainforests of the Cockscomb Basin Wildlife Sanctuary, home to the world’s first jaguar preserve"
texas,Urban Explorations,Austin," Known as the Live Music Capital of the World, Austin hosts countless music festivals, including the famous South by Southwest (SXSW)","Urban Explorations - Austin -  Known as the Live Music Capital of the World, Austin hosts countless music festivals, including the famous South by Southwest (SXSW)"
texas,Cultural and Historical Attractions,San Antonio," Experience Texas history at the Alamo, stroll along the picturesque San Antonio River Walk lined with shops, restaurants, and bars, and explore the Spanish colonial missions","Cultural and Historical Attractions - San Antonio -  Experience Texas history at the Alamo, stroll along the picturesque San Antonio River Walk lined with shops, restaurants, and bars, and explore the Spanish colonial missions"
texas,Outdoor Activities,Big Bend National Park," Located in Southwest Texas along the border with Mexico, this park offers dramatic desert landscapes, the Rio Grande River, and hiking trails that range from easy walks to challenging backcountry routes","Outdoor Activities - Big Bend National Park -  Located in Southwest Texas along the border with Mexico, this park offers dramatic desert landscapes, the Rio Grande River, and hiking trails that range from easy walks to challenging backcountry routes"
texas,Coastal Escapes,Galveston," This island city on the Gulf Coast features historic districts, the Moody Gardens educational theme park, and beautiful beaches where you can swim, fish, and bask in the sun","Coastal Escapes - Galveston -  This island city on the Gulf Coast features historic districts, the Moody Gardens educational theme park, and beautiful beaches where you can swim, fish, and bask in the sun"
texas,Unique Experiences,Marfa," A quirky desert town famous for its contemporary art scene, including the Chinati Foundation, and the mysterious Marfa Lights","Unique Experiences - Marfa -  A quirky desert town famous for its contemporary art scene, including the Chinati Foundation, and the mysterious Marfa Lights"
japan,Historical and Cultural Sites,Kyoto," Rich with history, Kyoto offers over a thousand temples, stunning Zen gardens, and traditional tea houses","Historical and Cultural Sites - Kyoto -  Rich with history, Kyoto offers over a thousand temples, stunning Zen gardens, and traditional tea houses"
japan,Modern Marvels,Tokyo, Japan’s bustling capital is a mix of the ultra-modern and traditional,Modern Marvels - Tokyo -  Japan’s bustling capital is a mix of the ultra-modern and traditional
japan,Natural Beauty,Mount Fuji, Japan’s tallest mountain is a must-see,Natural Beauty - Mount Fuji -  Japan’s tallest mountain is a must-see
japan,Traditional Experiences,Onsen Bathing," Experience relaxation in natural hot springs, with famous ones located in Hakone, Beppu, and Noboribetsu","Traditional Experiences - Onsen Bathing -  Experience relaxation in natural hot springs, with famous ones located in Hakone, Beppu, and Noboribetsu"
japan,Seasonal Highlights,Cherry Blossom Viewing (Hanami), Visit during spring to witness the breathtaking cherry blossoms in parks such as Ueno in Tokyo and Maruyama Park in Kyoto,Seasonal Highlights - Cherry Blossom Viewing (Hanami) -  Visit during spring to witness the breathtaking cherry blossoms in parks such as Ueno in Tokyo and Maruyama Park in Kyoto
japan,Unique Cultural Activities,Sumo Wrestling, Attend a sumo tournament in Tokyo or Osaka to see Japan’s national sport in action,Unique Cultural Activities - Sumo Wrestling -  Attend a sumo tournament in Tokyo or Osaka to see Japan’s national sport in action
vietnam,Exploring Hanoi,Old Quarter," Stroll through narrow, bustling streets that offer a charming mix of colonial architecture, street markets, and temples","Exploring Hanoi - Old Quarter -  Stroll through narrow, bustling streets that offer a charming mix of colonial architecture, street markets, and temples"
vietnam,Cruising Halong Bay,Iconic Limestone Karsts, Embark on a cruise to see the stunning emerald waters dotted with thousands of limestone islands and islets,Cruising Halong Bay - Iconic Limestone Karsts -  Embark on a cruise to see the stunning emerald waters dotted with thousands of limestone islands and islets
vietnam,Cultural Riches of Hoi An,Ancient Town," A UNESCO World Heritage site, Hoi An is famed for its well-preserved architecture, lantern-lit streets, and lush canals","Cultural Riches of Hoi An - Ancient Town -  A UNESCO World Heritage site, Hoi An is famed for its well-preserved architecture, lantern-lit streets, and lush canals"
vietnam,Historical Sites in Hue,Imperial City," Explore the remnants of Vietnam’s imperial past at this vast complex, which includes palaces, temples, and royal tombs","Historical Sites in Hue - Imperial City -  Explore the remnants of Vietnam’s imperial past at this vast complex, which includes palaces, temples, and royal tombs"
vietnam,Exploring Ho Chi Minh City (Saigon),War Remnants Museum, Gain insight into Vietnam's tumultuous history with exhibits focusing on the Vietnam War,Exploring Ho Chi Minh City (Saigon) - War Remnants Museum -  Gain insight into Vietnam's tumultuous history with exhibits focusing on the Vietnam War
vietnam,Backpacking Sapa,Terraced Rice Fields, Trek through stunning rice terraces while visiting ethnic minority villages like the Hmong and Dao,Backpacking Sapa - Terraced Rice Fields -  Trek through stunning rice terraces while visiting ethnic minority villages like the Hmong and Dao
vietnam,Relaxing in Coastal Destinations,Nha Trang," Famous for its pristine beaches, vibrant nightlife, and excellent scuba diving opportunities","Relaxing in Coastal Destinations - Nha Trang -  Famous for its pristine beaches, vibrant nightlife, and excellent scuba diving opportunities"
vietnam,Experiencing the Mekong Delta,Floating Markets," Explore the vibrant floating markets like Cai Rang, where traders sell fruits, vegetables, and local handicrafts from boats","Experiencing the Mekong Delta - Floating Markets -  Explore the vibrant floating markets like Cai Rang, where traders sell fruits, vegetables, and local handicrafts from boats"
vietnam,Cuisine and Street Food Tours,Pho and Banh Mi, Enjoy Vietnam’s famous noodle soup and delicious baguette sandwiches at local eateries,Cuisine and Street Food Tours - Pho and Banh Mi -  Enjoy Vietnam’s famous noodle soup and delicious baguette sandwiches at local eateries
st eustatius,Exploring Quill National Park,The Quill Volcano, The dormant volcano is the island's crown jewel,Exploring Quill National Park - The Quill Volcano -  The dormant volcano is the island's crown jewel
st eustatius,Diving and Snorkeling,Marine Park, St,Diving and Snorkeling - Marine Park -  St
st eustatius,Historical Sites,Fort Oranje," Overlooking the harbor, this well-preserved fort offers insights into the island’s colonial history, complete with cannons and historic artifacts","Historical Sites - Fort Oranje -  Overlooking the harbor, this well-preserved fort offers insights into the island’s colonial history, complete with cannons and historic artifacts"
st eustatius,Relaxation and Local Culture,Oranjestad," The capital, with its charming cobbled streets and colorful colonial architecture, provides a relaxed atmosphere","Relaxation and Local Culture - Oranjestad -  The capital, with its charming cobbled streets and colorful colonial architecture, provides a relaxed atmosphere"
